team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
New Zealand,Pakistan,2010/11,2010/12/30,AMI Stadium,Christchurch,Pakistan,bat,Abdul Razzaq,Pakistan,103,0
England,Sri Lanka,2011,2011/06/25,County Ground,Bristol,Sri Lanka,field,DPMD Jayawardene,Sri Lanka,0,9
England,India,2011,2011/08/31,Old Trafford,Manchester,India,bat,JW Dernbach,England,0,6
Pakistan,South Africa,2010/11,2010/10/26,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,JP Duminy,South Africa,0,6
West Indies,Pakistan,2011,2011/04/21,"""Beausejour Stadium, Gros Islet""",St Lucia,West Indies,bat,D Bishoo,West Indies,7,0
West Indies,India,2011,2011/06/04,"""Queen's Park Oval, Port of Spain""",Trinidad,West Indies,field,S Badrinath,India,16,0
South Africa,Australia,2011/12,2011/10/13,Newlands,Cape Town,South Africa,bat,SR Watson,Australia,0,5
South Africa,Australia,2011/12,2011/10/16,New Wanderers Stadium,Johannesburg,Australia,bat,J Theron,South Africa,0,3
Sri Lanka,Australia,2011,2011/08/06,Pallekele International Cricket Stadium,,Australia,field,TM Dilshan,Sri Lanka,35,0
Sri Lanka,Australia,2011,2011/08/08,Pallekele International Cricket Stadium,,Sri Lanka,bat,BAW Mendis,Sri Lanka,8,0
Australia,India,2011/12,2012/02/01,Stadium Australia,Sydney,India,field,MS Wade,Australia,31,0
Australia,India,2011/12,2012/02/03,Melbourne Cricket Ground,,Australia,bat,RA Jadeja,India,0,8
New Zealand,South Africa,2011/12,2012/02/17,Westpac Stadium,Wellington,New Zealand,field,MJ Guptill,New Zealand,0,6
New Zealand,South Africa,2011/12,2012/02/19,Seddon Park,Hamilton,South Africa,field,RE Levi,South Africa,0,8
